Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
conBot-R-IPL-GenT/30,1.1724036983356179e-3,1.1705835925353598e-3,1.174887259428169e-3,7.864234635950753e-6,6.204734786347371e-6,9.602676571838392e-6
conBot-R-IPL-GenT/40,2.6671025772654964e-3,2.661208805881805e-3,2.6739967681968517e-3,2.5064309927702794e-5,2.082795674376457e-5,3.1152398673015034e-5
conBot-R-IPL-GenT/50,5.186963331001095e-3,5.157838669074137e-3,5.229599368096447e-3,1.245656893522079e-4,9.8750003916242e-5,1.9482365651674375e-4
conBot-R-IPL-GenT/60,8.670089886581163e-3,8.623337741977818e-3,8.744718819503335e-3,1.9804293476474792e-4,1.389970384824557e-4,3.316811683216254e-4
conBot-R-IPL-GenT/70,1.3097190369005711e-2,1.300512506792257e-2,1.3378705468349216e-2,4.4574071896766256e-4,2.217868363039392e-4,8.538175409508945e-4
conBot-R-IPL-GenT/80,2.0364233349530275e-2,2.0177281364278286e-2,2.0618786961340074e-2,5.962419265943066e-4,4.698023238677607e-4,7.873492862313796e-4
conBot-R-IPL-GenT/90,2.8715139115110318e-2,2.829988326287013e-2,2.9467873640130746e-2,1.3822071735442305e-3,6.68964609505931e-4,2.094435075409374e-3
conBot-R-IPL-GenT/100,3.3705349624150005e-2,3.291145263612889e-2,3.541158566492395e-2,2.8048511405195558e-3,1.3877702048749954e-3,5.569907260828866e-3
conBot-L-CPL-GenZ/10,2.8692888032054524e-6,2.8494134735739333e-6,2.8984084632469075e-6,8.772107782260991e-8,6.554130228083935e-8,1.4235398450088984e-7
conBot-L-CPL-GenZ/20,6.134390445418116e-6,6.080086483961653e-6,6.200675085323783e-6,2.360358679131684e-7,1.9240982997891953e-7,3.0012435899557595e-7
conBot-L-CPL-GenZ/30,1.0648480853783705e-5,1.048885243972509e-5,1.0841439862388705e-5,7.23403905320933e-7,6.280901386273933e-7,8.728753071774222e-7
conBot-L-CPL-GenZ/40,1.4741098916899106e-5,1.4496076982153841e-5,1.5292864915542245e-5,1.385520528819692e-6,8.26732830366056e-7,2.2577884929499843e-6
